Image,Plot,Date_Index,Date,Variety,Cover,Mean_Green,EXG_Mean_Image,EXGR_Mean_Image,GLI_Mean_Image,VARI_Mean_Image
101A_20210708,101A,20210708,07/08/2021,Oat,Fallow,117.75718589657036,0.0378080119552507,-0.1548187734039925,0.0244903243727224,
101B_20210708,101B,20210708,07/08/2021,Oat,Post,116.85915015817292,0.0297486620983523,-0.1985144525681426,0.0179113836502578,
101C_20210708,101C,20210708,07/08/2021,Oat,Under,117.63256806739707,0.0368613891395345,-0.1831412470020106,0.0235956641267584,
102A_20210708,102A,20210708,07/08/2021,Oat,Fallow,119.02531188515104,0.0249499682922896,-0.2176390049500828,0.014853761168038,
102B_20210708,102B,20210708,07/08/2021,Oat,Post,116.39811832105242,0.0311619827904663,-0.2073957255654424,0.0176886860109245,
102C_20210708,102C,20210708,07/08/2021,Oat,Under,113.40497328420972,0.0156329551561967,-0.2347639326919085,0.0060844836421002,
103A_20210708,103A,20210708,07/08/2021,Oat,Fallow,110.61032982427376,0.055566630745634,-0.1979153043598899,0.0366170990366192,
103B_20210708,103B,20210708,07/08/2021,Oat,Post,118.4797949780101,0.1071567018279361,-0.0799427084658682,0.0721606694879697,
103C_20210708,103C,20210708,07/08/2021,Oat,Under,117.69747743142624,0.0718057028378394,-0.1508003822730957,0.0470513651306055,
104A_20210708,104A,20210708,07/08/2021,Oat,Fallow,117.691856385749,0.0401408741658885,-0.1889689237848609,0.025893785756929,
104B_20210708,104B,20210708,07/08/2021,Oat,Post,119.80729970390804,0.0454132193039442,-0.1820902366903435,0.0304456832916553,
104C_20210708,104C,20210708,07/08/2021,Oat,Under,117.67573950657768,0.0257053522438472,-0.2068169869661032,0.0160106676677043,
105A_20210708,105A,20210708,07/08/2021,Oat,Fallow,117.61313100381928,0.0852900822394,-0.1121451170240088,0.0583450148689058,
105B_20210708,105B,20210708,07/08/2021,Oat,Post,120.65327039369625,0.0817280305131001,-0.1127860740085054,0.055695624151439,
105C_20210708,105C,20210708,07/08/2021,Oat,Under,129.16331714632923,0.0659374443335956,-0.0865872708098195,0.045895357166261,
106A_20210708,106A,20210708,07/08/2021,Soy,Fallow,128.30913219493846,0.1078393450887947,-0.0165335739273651,0.0724306532070538,
106B_20210708,106B,20210708,07/08/2021,Soy,Post,124.6710732851742,0.1675841669380653,0.0714224410488622,0.1129607332772374,
106C_20210708,106C,20210708,07/08/2021,Soy,Under,127.7001664914548,0.146110792433554,0.0445267903244088,0.0991187728796895,
107A_20210708,107A,20210708,07/08/2021,Oat,Fallow,119.9440186046063,0.0468665651233984,-0.1739893596495077,0.0319172558333923,
107B_20210708,107B,20210708,07/08/2021,Oat,Post,122.7196861376876,0.0652548116321889,-0.1452769886739902,0.0457058708724464,
107C_20210708,107C,20210708,07/08/2021,Oat,Under,116.48103130666256,0.0465976852599318,-0.1812190990451423,0.0306766315596376,
108A_20210708,108A,20210708,07/08/2021,Oat,Fallow,107.67779081150418,0.0253462334072225,-0.2375732793407191,0.0151774608283481,
